days mag
4.812899999786168 8.365
1.8189300000667572 8.211
0.8449599999003112 8.439
2.8437200002372265 8.231
1.8309599999338388 8.499
1.6430399999953806 8.081
0.6163599998690188 8.452
3.818949999753386 8.357
1.5959799997508526 8.354
2.9221999999135733 8.256
0.6476199999451637 9.531
0.8151300000026822 8.512
2.804130000062287 8.453
0.5967000001110137 8.248
4.8982899999246 8.185
1.8179999999701977 8.109
1.6277499999850988 8.333
2.784440000075847 8.519
4.702670000027865 8.209
3.678060000296682 8.263
1.7730300002731383 8.224
2.537949999794364 8.738
4.858070000074804 8.508
1.8969800001941621 8.292
3.767030000220984 8.359
4.743590000085533 8.44
2.5956600001081824 8.2
4.7879099999554455 8.525
1.4794399999082088 8.802
0.6509499996900558 8.496
4.597399999853224 8.393
3.8281499999575317 8.282
0.890889999922365 8.101
3.733150000218302 8.444
3.787489999551326 8.315
4.709210000000894 8.249
4.814009999856353 8.35
3.900069999974221 8.408
0.6162099996581674 8.305
1.7646800000220537 8.432
4.56357999984175 8.652
1.6425799997523427 8.264
0.7688599997200072 8.354
4.8505799998529255 9.289
0.8396999998949468 8.453
2.9984299996867776 8.974
2.7114800000563264 8.474
4.595929999835789 8.242
0.8059799997135997 8.335
3.5826900000683963 8.493
0.8277399996295571 8.39
4.876990000251681 8.406
1.7260400000959635 8.593
3.566019999794662 8.641
2.777540000155568 8.358
0.8201199998147786 8.18
4.542559999972582 8.407
0.5825499999336898 8.502
2.6090500000864267 8.525
0.8864799998700619 8.53
3.8963200002908707 8.24
0.7574399998411536 8.604
0.8048000000417233 8.37
2.592980000190437 8.277
2.714610000140965 8.422
1.8959599998779595 8.0
2.8332899999804795 8.299
0.7951099998317659 8.385
3.8563199997879565 8.57
3.6575999995693564 9.259
2.1142599997110665 8.25
3.6849699998274446 9.322
0.8146500000730157 8.313
3.622939999680966 8.433
0.6508299997076392 8.201
2.8679700000211596 8.519
2.6537399999797344 9.316
4.820849999785423 8.408
1.5121499998494983 8.366
4.884070000145584 8.181
4.836769999936223 8.151
4.637140000239015 8.55
3.8157999999821186 8.522
0.8366099996492267 8.206
4.634550000075251 8.5
2.783799999859184 8.66
2.7476800000295043 8.53
1.8713899999856949 8.079
4.603050000034273 8.431
3.6338399997912347 9.02
1.7830299995839596 8.131
0.5516800000332296 8.608
0.6735000000335276 8.339
0.6643299995921552 8.476
1.5390800000168383 8.623
2.643709999974817 8.568
0.8046200000680983 8.538
0.6348999999463558 8.443
3.686269999947399 8.269
1.7101199999451637 8.496
4.610630000010133 8.245
3.7703700000420213 8.564
1.8645399999804795 8.428
1.5642900001257658 8.384
4.661910000257194 8.62
3.5036399997770786 8.931
2.740130000282079 8.37
3.6243400000967085 8.563
2.566379999741912 8.412
0.643439999781549 8.275
4.731110000051558 8.249
1.4796299999579787 8.868
3.7287599998526275 8.696
4.633859999943525 8.243
1.5185499996878207 8.345
2.685199999716133 9.021
0.5119799999520183 9.253
3.9190899999812245 8.013
2.7711700000800192 8.621
3.7399499998427927 8.592
1.6812200001440942 8.394
1.653260000050068 8.496
2.6606899998150766 8.396
4.830990000162274 8.41
3.797420000191778 8.545
1.7872599996626377 8.199
0.7340199998579919 8.181
4.7912699999287724 8.367
0.6992799998261034 8.232
3.744179999921471 8.481
4.763689999934286 8.69
2.8383300001733005 8.343
1.8062999998219311 8.594
0.5780299999751151 8.903
4.807359999977052 8.221
0.5660599996335804 8.724
4.77815999975428 8.323
